ID,Platform,Procedure,Expected result,Status,Actual result,Evidence,Defect or blocker,Build / browser / device,Executed at
C01,Desktop,"Public pages: open Landing, Features index and every linked feature detail, Pricing, Privacy and Terms; follow one signup CTA.",All linked pages load; phone screenshots render; navigation and CTA reach the intended destination; prices show currency and billing interval consistently.,Pass,11 public routes returned 200; all linked feature details visited; images loaded without broken assets or desktop horizontal overflow; pricing currency/interval visible; signup CTA opened /sign-up.,qa-evidence/2026-09-14-smoke/public-results.json,,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,2026-09-14T05:44:09.292180+00:00
C02,Desktop,"Authentication: sign in with A using email, refresh a protected page, sign out, then revisit its URL. Try one invalid login.",Session survives refresh; logout removes access; protected data is hidden; invalid login shows a recoverable error. Social-provider and password-recovery coverage is outside this small run.,Pass,Invalid password showed “That email or password isn’t right”; correct password authenticated. Logout then /settings redirected to /sign-in. Sign-in and reload restored authenticated Settings with the QA email input.,qa-evidence/2026-09-14-smoke/C02-refreshed-authenticated.png; C02-invalid-password.png,,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,2026-09-14T05:44:09.292180+00:00
C03,Desktop,"Onboarding: create a disposable user through Clover, complete required prompts, refresh Home.",One user is created on Free; onboarding completes without a loop; chosen settings persist and Home has useful empty-state actions.,Fail,"Clerk signup created one QA identity; Settings Plan shows Free. /onboarding then crashes, reference CLV-1WTZJU0. Vercel P2021: public.BrankasStatementSession missing. Prompts and Home cannot be completed.",qa-evidence/2026-09-14-smoke/C03-onboarding-error.png; runtime-errors.txt,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,2026-09-14T05:44:09.292180+00:00
C04,Desktop,Home: select the golden Profile; compare balances and reports; toggle Hide balances and reload.,PHP values match the manifest; USD stays separate; transfers are excluded from income/spending; every Home amount is concealed when hidden and preference survives reload. Restore visibility.,Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C05,Desktop,"Accounts: create a scratch cash account, rename it, reopen its details.","One account is saved in the selected Profile with correct type, currency, amount, icon and name; changes persist.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C06,Desktop,"Account details: open golden bank, cash and investment account details and an available institution view.","Account identity, currency and amounts agree with lists/fixture; recent activity belongs to that account; return navigation works.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C07,Desktop,"Transactions: create scratch expense ₱123, edit to ₱125/category Food, reopen, then delete it. Cancel a second Add draft.",Exactly one record is created/updated; deletion removes that scratch record and reverses its balance effect; canceled draft creates nothing and resets when reopened. Golden totals are restored.,Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C08,Desktop,"Transaction discovery: search a golden description, filter Food/current dates, sort, open a detail and return, reload, then clear.",Search/filter results are correct; sort and filters persist on return/reload; clearing restores all rows. Reversed dates show validation; either single date bound works.,Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C09,Desktop,"Review: open seeded low-confidence item via warning badge, inspect reason, correct and confirm it, reopen.",Badge exposes the issue and editable fields; confirmation persists and removes only this item from pending review; raw source remains available and other unresolved items remain.,Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C10,Desktop,Upload: import the prepared three-row file into the isolated import account; wait for completion and inspect results.,"Exactly three expected expenses totaling ₱600, correct currency/sign/dates/descriptions; destination Profile/account correct; source file and row traceability retained. No golden data changes.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C11,Desktop,Upload safety: upload that same file again; then try the unsupported file.,No duplicate confirmed transactions; duplicate handling is explicit; unsupported input shows an actionable error without partial financial writes.,Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C12,Desktop,"Recurring: create scratch future payment, edit amount/date, open calendar plus Planned/Debt/Installments/Money Owed views.",Saved edits persist; calendar names the payment and represents multiple dues; overdue item is distinct; empty review suggestions are hidden. Merely scheduling does not create a paid transaction.,Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C13,Desktop,"Reports: choose golden month/currency; switch Donut, Bars, Table; view previous-month comparison.","Each view shows income ₱2,000/spending ₱500 where applicable, same category values and currency; no transfer spending; chart labels readable; previous-month range is the full previous calendar month.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C14,Desktop,"Budgets: create a PHP Food budget of ₱1,000 for the golden month, edit target to ₱1,200, reopen.","Actual spend is ₱500, remaining ₱700 after edit; period/category/currency and target persist.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C15,Desktop,"Goals: create two scratch goals of the same type, edit one and reopen both.",Both remain separate; editing one does not overwrite the other or onboarding focus; currency/target persist; progress does not imply reserved money.,Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C16,Desktop,Investments: open the seeded holding and valuation details; edit only a scratch holding's label.,"Quantity, price, valuation basis and currency match manifest; saved label persists; no invented real-time price or double-counted balance.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C17,Desktop,"Split Bills: create a ₱600 bill paid by A, equally split with B; record B's ₱300 settlement and reopen.",Each share is ₱300; B owes ₱300 before and ₱0 after; one settlement only; group totals reconcile. No duplicate personal transaction is created.,Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C18,Desktop,"Split identities/payment methods: open group and People, add a scratch payment method with test QR, edit/reopen it.","Correct people/photos or fallbacks; group card, category, Shared with and chevron render; method fields/QR persist and remain readable. No actual payment is sent.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C19,Desktop,"Circles: as A create a scratch Circle, add B using a controlled invitation, share one golden item as summary; open as B.","B sees only permitted summary, not hidden merchant/account fields or adjacent private records; B cannot edit A's source transaction; original ownership remains unchanged.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C20,Desktop,"Ask Clover: request golden-month spending summary and preview one scratch ₱25 expense, then cancel.","Summary agrees with scoped data, or clearly explains inability; proposed transaction requires confirmation; cancellation writes nothing. Unsupported or fabricated financial totals fail. Provider unavailable = Blocked.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C21,Desktop,Profiles: switch populated → empty → populated with a transaction selection/draft open; rename the empty Profile.,No data leaks between Profiles; selections/drafts clear; rename persists without moving records; populated data returns unchanged.,Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C22,Desktop,"Settings: change theme and a reversible display preference, reload; visit Account, Security, Region, Data and Categories; restore defaults.",Preferences persist; dark/light pages remain readable; navigation works; data actions do not execute merely by opening the page. Create/rename one scratch category and confirm it appears in the transaction editor.,Blocked,Partial: dark mode/helper-text changes survived reload; restored light/shown. Account/Security/Region/Data render. Categories has no editable Profile because workspace loading hits SMOKE-001; create/rename/editor checks blocked.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C23,Desktop,Notifications/help: open one seeded notification and mark read; search/open Help; open Contact and Referrals.,Read state persists; linked content opens; Help returns relevant content; contact validation prevents an empty submission; referral view loads without exposing another user's identity. Do not send a real support message.,Fail,Help and Contact load. Referrals crashes; Vercel reports auth() called without matching clerkMiddleware. Notification fixture not available; remaining assertions unexecuted.,qa-evidence/2026-09-14-smoke/settings-referrals.png; runtime-errors.txt,SMOKE-003,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,2026-09-14T05:44:09.292180+00:00
